แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
อะไร|จะ|รู้|เยอะ|ขนาด|นั้น,มีๆ,อื้อ,อยากรุ้ไง,ไม่ชอบ,อื้ออ,ง่วงงง,10คะแนน,ชอบมานาน 555,ติดละ,ทำไร,มากๆ,ช่ายย,นอน,ใช่แล้ว
ทำ|เสร็จ|แล้ว|ขอด|ได้|ป่ะ,อ่า
เริ่ม|ใช้เวลา|พอ|กัน|ละ,จ้า
สอบ|ให้|พอ|ผ่าน|ก็,รับทราบบ
วาด|โต|ไป,อื้ออออออออออออ
ต้อง|ต่อ,ผ่านไหมมม
เด๋ว|ไป|อ่าน|หอม|แหละ,ฟิว
ส่ง|อาทิ|หน้า|ได้,ไม่เอาา
เดี๋ยว|ตี|เลย|เหอะ,เจ็บสิว
เอา|มา|ให้|ดูๆ,ไม่ให้
น่าน|เดะ,ไม่มีเวลา
เหลือ|แต่|แนว|จิต,ขอบาย
นั่ง|ตาก|แอร์|ร้าน|คอม,สวนหมาก
สมัคร|ไม่ทัน,มี2รอบมั้ง
จะ|เปิดกล้อง|ป่าว,ไม่เปิด
ไป|แค่|เช้า|เย็น|กลับ|ครับ,ถุย
อ่า|ฮะ|ไม่มี|อะไร|หรอก|ตามสบาย,มาละๆๆ
ใช่|เพื่อน|จริง|เร้อ,จริงงดิ,จริงงงง -3-/,ใช่สิ 555555
ไป|หอ|เม|สมา,อะฮะ,สมุด
อุดร|นี้|ภาค|ไหน|อ่ะ,อีสานค่า
ใคร|เล่น|มั่ง,กุ ทิต
ค่อยๆ|ฝึก|ไป|เหอะ,ง่าาาาาาาา,อ่านะ
วันนี้|ได้มา|มอ|ป่ะ,มาจ้า,อยู่ๆๆ,ไปสิ
พูด|ละ|ช่วย|เชือก|เถอะ,เชื่อสิ
สปา|ไม่ได้|ดู|ภาค|ที่แล้ว|หรอ,ช้อยก้น่าดู,ช่ายยยยย
ให้|ช่วย|ก็|บอก|ได้|นะ,อ่าเคค่าาา
ห้อง|รัก|นะ,จะจบละ
อ่าน|ทาง|นั้น|หนาว|ป่ะ,หนาวว
ยัง|ดี|ว่า|ยุ|ตรงกลาง,รักสงบบบ
บอก|พี่|เค้า|ยัง|เนี่ย,ยัง
หลุด|ยาว|เลย,ไม่เป็นไรร ^^'
อ่า|ฮะ|ขอบคุณ|ค้าบ,แปปป,ตกๆ,เฮ้ยย,อ่าาา,ทำไยย,ตายละ,ยิ้มมมมมมมมมมมมมม ^___________^,คอลไปเเย้ว,ช่างเหอะ555,อ่ออ,อ่าา,2นาที,เวรี่กู้ดดดดด 55555,ยังนะ,กินยายัง,เสียดายยยยย,ง่ะะะะ,อ่า,มา แระ,ค่า,เดี๋ยวมา,งอล,พี่,บายบุยๆ,นอนละ,โอเคจ้า,มาแบ้ว,โอเค,อ๋อ,รับบ,เรียน,ล่วงหน้า,สยาม1ห้อง006,บายย,ทำไร,งันอด,บายๆ,อัพละฮะ,คับบบ,ก่อนอาหาร,ไหนอะ,โหดสัสรัสเมีย,โคนัน,ฟิว,ค่ะ,พี่ฟิว,แบร่ๆ,พิมอยู่ได้,2 ก็ 50%,จ้าา,อือๆ,มาดิ,ค้าบผมม,อ่าเคๆ,ได้ๆ,ฝนตกแม้ะ,ทุกคนวินวิน,ครับผม,มาละ,เคือ,จ้า,จบ6ปี,ต่อยัง,เออ,อ่าา ,ไลน์,พี่ฟิวๆ,พี่ ฟิว,อ่าฮะะะ,อาทิด,ดีแระๆ,อะ,ป่าวว,มาเเยะะ,อ่าเครๆ,ครับ,ฟิววววว,ฝันดัจ้าาา  ^^,ส่งไปรษณีย,ให้รอ,จริงๆ,อัตราส่วน,ลองดู,อื้อ,สุดยอดอะ,แน่ใจนะ,แกๆ,โอนละ,ทำไรอ่ะ,เอ้าหรออ,มา คำที่1,เคคคคค
ตอน|สุดท้าย|เป็น|แก่,แงะ
พี่|ไม่|ชัวร์,เคคับๆๆ
กับ|ค่อย|จ่าย|เปิดเทอม|ใช่|ป่ะ,ไช่
พี่|โจ้|รี|ไม่ได้|เรอะ,ครีไม่ได้
ตัว|ขี้|ลัก|ก็|ม่อย,จ้า
ไม่|ค่อย|ชอบ|ดู|หนัง,ดูอยุ๋
หอย|นั่น|ล่ะ,หงอ
เรา|บท,ไม่ๆ
กำลัง|หา|ทีม|ตี|ยิม,ตียิม 5555+
งั้น|สนใจ|เล่น|ใต้|หอ|ป่ะ,แปป,อ่านไร,ยังๆ,เร่นด้วยๆ,อือ,ไม่ไหวอะ,หะห้ะ,เคยเล่น,อ้ออ,ติ๋มจุง,ชมรมอ่ะ?,ออก711,มาๆ,เด๋วไปหา,เล่นค่า,ไม่อ่ะ,อือๆ
รู้|แล้ว|แทน|ที่เก็บ|ดี,เออ
พี่|ว่า|เกี่ยว|เว้ย,เออะ
อาจจะ|ไป|ถ่าย|ข้างใน|แทน,แล้วไง
เหมือน|จะ|อีก|นาที|เลย,งง
จำ|ไม่ได้|อ่ะ|ชีส|อาจาร|อย่าง,อ๋อออ,สาดดด,64 ล่ะ?,อ่าๆๆ,อ่า
โด่|วันนี้|ไป|ไหน|มา|หว่า,รูท,ทำงาน,ฟิว,เล่นม่ะ,ดอท2มา,อาบน้ำ,อยู่บ้าน,ชวนเมสๆ
สอน|ให้|พอ|คร่าวๆ|อ่ะ,อ่าๆ
เกี่ยว|ไง,เกี่ยวสิ
พน|ก็|เข้า|ที่ทำงาน,เทพจริงๆๆ
นกแก้ว,ม่ายย
ไม่|กลับ|เรอะ,พน
ดู|เป็น|คนละ|แนว|เลย,ช่ายยย,อินดี้
แต่|จะ|ย้าย|เวลา|ละ,เป็น?
เห็น|ใน|หนัง,อืมม
พึ่ง|กลับมา|หอ|หรอ,อื้อออ
บาง|มด|น่ะ,อืม,บ้าง
เรา|อีก|นาน|แบ,แบร่
อ่าน|พอ|แน่ใจ|นะ,อ่าฮะ,เยสสส,พอนิๆ,ค้า
เน็ต|เน่า|เกิน,กำ
ตาม|รูป|นั่น|ล่ะ,100โอม
มัน|ร้อน|เหอะ,หรอ
ตกลง|เรียน|ไร,อิเลกก
ใคร|หรือ|ป้อม|ก่อน|จบ,เออ
ถ้า|ผิด|อย่า|ด่า,ผลไม้
เกรียน|ไง|หว่า,แบบ
ใต้|ตึก|ใหม่,หมด
แหวกแนว|ดี,นั่นดิ
ตอน|หาย|ง่วง,โอ้ะ
คุย|กัน|ให้|เสร็จ|ละ,จะมามัน
เยอะ|นา|นั้น,ก้เยอะอ่ะ
เห็น|ละ|หมด|อา|รม|ด้วย,จ้า
คนดู|เยอะ,อะไรหรอ
การบ้าน|ส่ง|กี่|ครั้ง|ละ,สอง,เอ่อ =..=,ทำในคอมป้ะ,ถามเรื่อ
วันนี้|เล่น|คน|ก่อน|ป่ะ,ใครบ้าง
ส่ง|แค่|ใบ|เดียว|ใช่|ป่ะ,ช่าย,อ่าๆ
ซ้อม|ชาติหน้า,ันั่นสิ
เป็น|เพราะ|โทรศัพท์|หรือ|หลับ|เนี่ย,ไม่รุ้
ยุบ|รถ|หรอ,จ้าา
พึ่ง|ตื่น|เดะ,กำ,อื้อ,ดีฮะ,ทัมได้ป่าวว,อยุ่ไหน,มา เคเอฟ
คำโต|ก็|เป็น|พวก|ย่าง|อ่ะ,อ่อออ แพงป้ะ
วันนี้|มี|เรียน|รึ|ป่าว|อ่ะ,โอเคๆ,ไม่มีอะ,เทพเลยย,ไม่มีเลย,ไม่อ่ะ
หน่วย|นี้|เกิน|หรอ,เกิน
กะ|หา|เสรี|สัก|ตัว,สอนดี
มา|แระ,ดูตูนแปป,คะ,อาฮะ,อ๋อจ้า,แปะๆ
ไว้|คบ|กัน|ก่อน|ละ,หึ
น้อง|หนุก|หรือ|พี่|หว่า,พี่เด่ะ 555,คออักเสบ,เอิ่ม
ปกติ|มัน|ใช้ได้|หมด|แหละ,ใช้ไม่ได้
ตามนั้น|เลย,ผมงง
มัน|สอน|ไม่ได้|อ่ะ|ดิ,ได้ๆ
เห|รูป|เดียว|อ่ะ,เออใช่
น่าจะ|ยัง|ไม่มีใคร|เล็ง|อ่ะ,ไม่แน่นะ
เอ้|ก่อน|ดิ,เร็วๆ
ที่|ต้อง|แดก|ต้นไม้|อ่ะ,อ้อ
ซ้อม|แข่ง|ละ,อื้อ,เออๆ
จัด|ปา,มาๆ,ได้เลยยยยย
เน็ต|กาก|ได้|อีก,ง้ำ
แค่|อยาก|ให้|ไป|แช่น้ำ|สักพัก,จ้า
โต้กลับ|ได้|โคตร|เนียน,อืมมม
ไปหา|หมอ|ยัง,ไม่อ่ะ
หรือ|จะ|เอา|หลัง|มอ,ไหนก้อได่ข
ยัง|ไม่ได้|ถาม|อีก|คนเล|อ่ะ,ทำไมอ่ะะะะะ,เอ้าาาา
ขึ้น|เหมือน|เดิม|อ่ะ,อือ
เห็น|ใน|อ่ะ,อ้อ
ว่า|ละ|เชียว,ฝันเีจ้า,อะไรหรอ,ทักๆๆ,หมดเเยะะะ ;___;,นิ่มดี 555,ฮ่าา,จ้า
ไป|งาน|แปป,ไปไหน
มะ|วาน|นอน|โมง|จริง|หรอ,ใช่
ของ|เรา|มีค่า|บ่อย|อ่า|แหะๆ,อืม,โอเค5555
ยัง|ไม่|ถึง|ตก|ถือว่า|อ่อนหัด,55555 ตก1
แก้|ให้|กุ|ได้|ยัง|นั่น,ไม่อ่ะ
อยาก|ฝึกงาน|มั่ง|แฮะ,ฝึกเล้ย
เล่น|ยุ|หรอ,อ่าห้ะ,เล่น ๆ,จีเอม,ป่าวจ้า
มี|ด้วย|รึ,มีดิ
จะ|ให้|โทร|ไป|คุย|มั้ย,ไม่,ตามสบาย
เที่ยว|เผื่อ|ด้วย|ละ|กัน,จิงอะ,เล่นม่ะ,มาแล้ว,ค่าา,ไปเลยนิ
คิว|คับ,ดวกๆ
ยัง|อ่าน|ออ|ยุ|หรอ,อ่าฮะ,เปล่า,ทำงานค่ะ,เล่นดอท
อ่าน|ดู|ลำบาก|จัง,ยังไงอ่า
ต่อ|สาย|แลน|ไม่ได้|อะ,ยังไงวะ
อ่า|ฮะ|หวัด|ดีน|ออ,ดีจ้า,ดีๆ,ฝนตกปะ,จ้าาา,ดีจ้าา,ฮาๆๆ ,จ้าาาา,ดี,จ้า,ดีจ้าาาาาา,เเฮ่ๆ,น้ออออ,ดีจ้ะ,ไงบ่างๆ,หวัดดี,ขจ้าา,อืม,ว้าา,ดีดี,จ้า ,ค่ะ
ตอนเช้า|ไปเที่ยว|ไหน|มา|หรอ,ใม่น่ะ
อ่ะ|ฝันดี|ฮะ,ต๊ะเอ๋,ฟิว,มาแล้ว
เมิง|แอน|รอย|มั้ย,เป้น
เออ|สนิท|จริงๆ,ขอดูเฟสหน่อย
อืด,ชาย
อีก|รีบ|ยิ้ม|น่ากลัว,ไรนะ
ตอน|ไฟ|ติด|อ่ะ,งง
ไป|หน|ใด|ล่ะ|นั่น,วิทยาลัย
โอ้ย|อิ่ม,หิสส,เรียน
ทำ|โปรเจค|แปป,มาเลยยย,อื้อ,อือ,ไม่ไหว,โอเคคค,ได้ละๆ,ชือ่ไร,ค่ะ,มายัง,ทำไร
เรื่อง|เกี่ยวกับ|อะไร,วิทลัยส่วนใหญ่
ไม่มีใคร|เชื่อ|กุ|เลย,พี่เชื่อๆ
ไหน|ลงทะเบียน|ไร|มั่ง,พน คุยๆ
คุย|ใน|มือถือ|พราง|ได้|นะ,ตังไม่มี
ทำงาน|ยาว|เลย|อ่ะ|โทษ|ทีน,อารัย,โอ้ย,จ้า
ไว้|ให้|หาย|ก่อน,ดอทมา
กว่า|ว่า|ถาม|ดู|ตอน|อะไร,บ้าาา =3=
เป็นไร|กับ|ผม|พี่|ฮะ,ทีพี่อะ
พี่|ยุ|ห้อง|ชมรม|ละ,โอเคค่าาา
ได้|โปรแกรม|ยัง,แล้ว
ค้าบ|รับทราบ,จ้า :),อิอิ
เหม่ง|หนา|สิ|นะ,อารายยยย
หลาย|สี|ไป|ป่ะ,เอาหน่าา
แต่ง|ด้วย|ป่ะ|นั่น,ป่าวอ่า
อ่า|ยิง|แระ|ถูก|ใช่|ป่ะ,อื้อ
มัน|อยู่|ใกล้|กัน|ป่ะ|ว้า,ไปทำไร
